"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15837","authorizedUserCannotDepositToNonExistentAccountTest()","","2026-08-13","passed","2026-08-13","","iteration_2.api.AccountsDepositTest","iteration_2.api.AccountsDepositTest","authorizedUserCannotDepositToNonExistentAccountTest"
"","6262","userCannotUpdateNameWithInValidDataTest(String, String) [2] name=   , errorValue=Name must contain two words with letters only","","2026-08-13","passed","2026-08-13","","iteration_2.api.UpdateNameUserTest","iteration_2.api.UpdateNameUserTest","userCannotUpdateNameWithInValidDataTest"
"","14394","userCannotUpdateNameWithInvalidDataTest()","","2026-08-13","passed","2026-08-13","","iteration_2.ui.UpdateNameUserTest","iteration_2.ui.UpdateNameUserTest","userCannotUpdateNameWithInvalidDataTest"
"","0","userCanUpdateNameWithValidDataTest(String)","","2026-08-13","skipped","2026-08-13","","iteration_2.api.UpdateNameUserTest","iteration_2.api.UpdateNameUserTest","userCanUpdateNameWithValidDataTest"
"","16076","userCannotSearchTransactionWithInvalidName()","","2026-08-13","passed","2026-08-13","","iteration_2.ui.AccountsTransferTest","iteration_2.ui.AccountsTransferTest","userCannotSearchTransactionWithInvalidName"
"","15165","userCannotDepositWithInvalidData()","","2026-08-13","passed","2026-08-13","","iteration_2.ui.AccountsDepositTest","iteration_2.ui.AccountsDepositTest","userCannotDepositWithInvalidData"
"","11825","userCannotUpdateNameWithInValidDataTest(String, String) [5] name=pikkq CZdmP\, errorValue=Name must contain two words with letters only","","2026-08-13","passed","2026-08-13","","iteration_2.api.UpdateNameUserTest","iteration_2.api.UpdateNameUserTest","userCannotUpdateNameWithInValidDataTest"
"","5225","userCanTransferBetweenTheirAccountWithValidDataTest(Double) [3] amount=10000.0","","2026-08-13","passed","2026-08-13","","iteration_2.api.AccountsTransferTest","iteration_2.api.AccountsTransferTest","userCanTransferBetweenTheirAccountWithValidDataTest"
"","9165","userCanTransferToExternalAccountWithValidDataTest(Double) [1] amount=0.01","","2026-08-13","passed","2026-08-13","","iteration_2.api.AccountsTransferTest","iteration_2.api.AccountsTransferTest","userCanTransferToExternalAccountWithValidDataTest"
"","1622","adminCanNotCreateUserWithInvalidDataTest(String, String, String, List) [4] username=abc%, password=Password33$, role=USER, errors=[Username must contain only letters, digits, dashes, underscores, and dots]","","2026-08-13","passed","2026-08-13","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidDataTest"
"","3703","adminCanLoginWithCorrectDataTest()","","2026-08-13","passed","2026-08-13","","iteration_1.ui.LoginUserTest","iteration_1.ui.LoginUserTest","adminCanLoginWithCorrectDataTest"
"","3720","userCannotTransferBetweenTheirAccountWithInvalidDataTest(Double, String) [3] amount=10000.01, errorValue=Transfer amount cannot exceed 10000","","2026-08-13","passed","2026-08-13","","iteration_2.api.AccountsTransferTest","iteration_2.api.AccountsTransferTest","userCannotTransferBetweenTheirAccountWithInvalidDataTest"
"","4204","userCannotTransferBetweenTheirAccountWithInvalidDataTest(Double, String) [1] amount=-1.0, errorValue=Invalid transfer: insufficient funds or invalid accounts","","2026-08-13","passed","2026-08-13","","iteration_2.api.AccountsTransferTest","iteration_2.api.AccountsTransferTest","userCannotTransferBetweenTheirAccountWithInvalidDataTest"
"","0","userCanRepeatTransfer()","","2026-08-13","skipped","2026-08-13","","iteration_2.ui.AccountsTransferTest","iteration_2.ui.AccountsTransferTest","userCanRepeatTransfer"
"","4260","userCanGenerateAuthTokenTest()","","2026-08-13","passed","2026-08-13","","iteration_1.api.LoginUserTest","iteration_1.api.LoginUserTest","userCanGenerateAuthTokenTest"
"","0","userCanSearchTransactionWithValidName()","","2026-08-13","skipped","2026-08-13","","iteration_2.ui.AccountsTransferTest","iteration_2.ui.AccountsTransferTest","userCanSearchTransactionWithValidName"
"","10292","userCanTransferToExternalAccountWithValidDataTest(Double) [3] amount=10000.0","","2026-08-13","passed","2026-08-13","","iteration_2.api.AccountsTransferTest","iteration_2.api.AccountsTransferTest","userCanTransferToExternalAccountWithValidDataTest"
"","2307","adminCanNotCreateUserWithInvalidDataTest(String, String, String, List) [3] username=abc$, password=Password33$, role=USER, errors=[Username must contain only letters, digits, dashes, underscores, and dots]","","2026-08-13","passed","2026-08-13","","iteration_1.api.CreateUserTest","iteration_1.api.CreateUserTest","adminCanNotCreateUserWithInvalidDataTest"
"","7253","userCannotTransferAmountExceedingBalanceBetweenTheirAccountTest()","","2026-08-13","passed","2026-08-13","","iteration_2.api.AccountsTransferTest","iteration_2.api.AccountsTransferTest","userCannotTransferAmountExceedingBalanceBetweenTheirAccountTest"
"","13394","userCanDepositWithValidData()","","2026-08-13","passed","2026-08-13","","iteration_2.ui.AccountsDepositTest","iteration_2.ui.AccountsDepositTest","userCanDepositWithValidData"
"","657","adminCanGenerateAuthTokenTest()","","2026-08-13","passed","2026-08-13","","iteration_1.api.LoginUserTest","iteration_1.api.LoginUserTest","adminCanGenerateAuthTokenTest"
